Id,Title,Magazines publications,Book publications,Post-conference publications,Equipment,Equipment cost,Equipment count,Manager,Managers title,Unit,Voivodeship
2018/29/N/HS3/00775,Ekonomie królewskie w Wielkim Księstwie Litewskim w latach 1780-1795,0,0,0,,0,0,Stanisław Zawadzki,mgr,"Uniwersytet Warszawski, Wydział Historyczny, Wydział Historyczny",mazowieckie
2018/29/N/HS3/02625,Dziedziniec Kompleksu Kultu Królewskiego w świątyni Hatszepsut w Deir el-Bahari w wymiarze rytualnym i ideologicznym,0,0,0,,0,0,Adrianna Madej,mgr,Instytut Kultur Śródziemnomorskich i Orientalnych Polskiej Akademii Nauk,mazowieckie
2018/29/N/HS3/02920,Najlepsi z najlepszych? Rekrutacja i praca polskiego personelu w Międzynarodowej Komisji Nadzoru i Kontroli w Wietnamie w latach 1954-1973.,0,0,0,,0,0,Jarema Słowiak,mgr,"Wydział Historyczny, Wydział Historyczny",małopolskie
2018/29/N/HS4/00792,Rozkład przestrzenny frekwencji i nieważnych głosów w wyborach w Polsce w latach 2000-2019,0,0,0,,0,0,Magdalena Skorupska,mgr,"Uniwersytet Warszawski, Wydział Geografii i Studiów Regionalnych, Wydział Geografii i Studiów Regionalnych",mazowieckie
2018/29/N/HS4/02608,Kapitał środowiskowy. Badanie nad wpływem zaangażowania się w ochronę środowiska na zachowanie konsumentów,0,0,0,,0,0,Jakub Sokołowski,mgr,"Wydział Nauk Ekonomicznych, Wydział Nauk Ekonomicznych",mazowieckie
2018/29/N/HS4/02813,Społeczno-demograficzne determinanty ubóstwa energetycznego i jego trwałości w Polsce,0,0,0,,0,0,Liliia Karpinska,mgr,"Wydział Zarządzania, Wydział Zarządzania",małopolskie
2018/29/N/HS5/00105,Zautomatyzowane podejmowanie decyzji a zakaz dyskryminacji na gruncie prawa europejskiego,0,0,0,,0,0,Joanna Mazur,mgr,"Wydział Prawa i Administracji, Wydział Prawa i Administracji",mazowieckie
2018/29/N/HS5/01132,Relacja pomiędzy obrazą przepisów postępowania a błędem w ustaleniach faktycznych w postępowaniu odwoławczym w procesie karnym,0,0,0,,0,0,Marcin Klonowski,mgr,"Wydział Prawa i Administracji, Wydział Prawa i Administracji",małopolskie
2018/31/N/HS3/02079,Rytmy życia. Codzienność plebanów wiejskich parafii Rzeczypospolitej Obojga Narodów w epoce oświecenia.,0,0,0,,0,0,Stanisław Witecki,dr,"Uniwersytet Jagielloński, Wydział Historyczny, Wydział Historyczny",małopolskie
2018/31/N/HS3/02187,Mała epoka lodowcowa a kryzys gospodarczy w Polsce wczesnonowożytnej,0,0,0,,0,0,Monika Kozłowska,mgr,"Uniwersytet w Białymstoku, Wydział Historyczno-Socjologiczny, Wydział Historyczno-Socjologiczny",podlaskie
2018/31/N/HS4/02151,Pre-inkubacja i pre-inkubatory przedsiębiorczości: zaktualizowana definicja i pierwsza klasyfikacja,0,0,0,,0,0,Marcin Bielicki,mgr,"Wydział Ekonomii, Wydział Ekonomii",wielkopolskie
2018/31/N/HS4/03052,Ocena skuteczności proinwestycyjnych mechanizmów interwencyjnych w rozwoju gospodarstw rolnych w krajach Europy Środkowo-Wschodniej,0,0,0,,0,0,Krzysztof Pawłowski,mgr inż.,"Uniwersytet Przyrodniczy w Poznaniu, Wydział Ekonomiczno-Społeczny, Wydział Ekonomiczno-Społeczny",wielkopolskie
2018/31/N/HS4/03310,Wybór ścieżki kariery: modelowanie funkcji oczekiwanej użyteczności.,0,0,0,,0,0,Jakub Golik,mgr,"Politechnika Gdańska, Wydział Zarządzania i Ekonomii, Wydział Zarządzania i Ekonomii",pomorskie
