,type,edition,subpanel_code,budget_numeric,duration_numeric,coinvestigators_numeric
484,PRELUDIUM,1,ST5,336000,24,4
485,PRELUDIUM,1,ST5,180000,36,2
486,PRELUDIUM,1,ST5,190000,36,2
487,PRELUDIUM,1,ST5,58240,24,2
488,PRELUDIUM,1,ST5,50550,18,2
489,PRELUDIUM,1,ST5,98500,12,2
490,PRELUDIUM,1,ST5,75000,12,2
491,PRELUDIUM,1,ST5,62600,12,1
492,PRELUDIUM,1,ST5,82000,24,2
493,PRELUDIUM,1,ST5,225900,30,2
494,PRELUDIUM,1,ST5,70000,18,1
495,PRELUDIUM,1,ST5,46100,16,2
496,PRELUDIUM,1,ST5,48000,16,2
497,PRELUDIUM,1,ST5,65000,12,2
498,PRELUDIUM,1,ST5,41600,14,2
499,PRELUDIUM,1,ST5,90000,24,2
500,PRELUDIUM,1,ST5,161000,30,4
501,PRELUDIUM,1,ST5,188300,24,3
502,PRELUDIUM,1,ST5,85000,24,2
503,PRELUDIUM,1,ST5,170150,36,2
504,PRELUDIUM,1,ST5,66000,18,2
505,PRELUDIUM,1,ST5,143000,24,2
506,PRELUDIUM,1,ST5,250000,24,4
507,PRELUDIUM,1,ST5,175890,18,2
508,PRELUDIUM,1,ST5,150000,18,2
509,PRELUDIUM,1,ST5,128750,24,3
510,PRELUDIUM,1,ST5,180000,30,4
511,PRELUDIUM,1,ST5,296200,36,4
512,PRELUDIUM,1,ST6,78800,36,2
513,PRELUDIUM,1,ST6,44400,24,2
514,PRELUDIUM,1,ST6,74500,24,2
515,PRELUDIUM,1,ST6,224550,24,4
516,PRELUDIUM,1,ST6,65000,24,2
517,PRELUDIUM,1,ST6,42000,12,2
518,PRELUDIUM,1,ST6,51220,24,2
519,PRELUDIUM,1,ST6,45900,30,2
520,PRELUDIUM,1,ST6,120180,24,3
521,PRELUDIUM,1,ST6,98000,24,2
522,PRELUDIUM,1,ST6,78240,30,2
523,PRELUDIUM,1,ST6,56800,36,1
524,PRELUDIUM,1,ST6,63750,24,2
525,PRELUDIUM,1,ST6,319800,30,3
526,PRELUDIUM,1,ST6,105550,24,2
527,PRELUDIUM,1,ST6,111600,25,2
528,PRELUDIUM,1,ST6,92300,36,2
529,PRELUDIUM,1,ST6,93600,24,2
530,PRELUDIUM,1,ST6,78412,24,2
531,PRELUDIUM,1,ST6,66300,24,2
532,PRELUDIUM,1,ST7,271700,24,2
533,PRELUDIUM,1,ST7,223350,24,3
534,PRELUDIUM,1,ST7,119560,18,3
535,PRELUDIUM,1,ST7,45750,18,3
536,PRELUDIUM,1,ST7,75600,24,2
537,PRELUDIUM,1,ST7,140760,30,2
538,PRELUDIUM,1,ST7,156000,36,2
539,PRELUDIUM,1,ST7,26000,12,2
540,PRELUDIUM,1,ST7,83000,24,3
541,PRELUDIUM,1,ST7,88520,18,1
542,PRELUDIUM,1,ST7,79560,24,1
543,PRELUDIUM,1,ST7,94270,17,2
544,PRELUDIUM,1,ST7,125760,24,4
545,PRELUDIUM,1,ST7,26000,12,2
546,PRELUDIUM,1,ST7,136480,24,3
547,PRELUDIUM,1,ST7,58660,12,2
548,PRELUDIUM,1,ST7,81450,18,2
549,PRELUDIUM,1,ST7,80000,24,3
550,PRELUDIUM,1,ST7,219900,24,6
551,PRELUDIUM,1,ST7,131700,36,2
552,PRELUDIUM,1,ST7,82300,24,3
553,PRELUDIUM,1,ST7,109537,24,2
554,PRELUDIUM,1,ST8,258050,36,2
555,PRELUDIUM,1,ST8,62400,20,1
556,PRELUDIUM,1,ST8,67500,36,3
557,PRELUDIUM,1,ST8,46020,18,2
558,PRELUDIUM,1,ST8,146160,36,2
559,PRELUDIUM,1,ST8,79450,30,2
560,PRELUDIUM,1,ST8,64632,20,2
561,PRELUDIUM,1,ST8,64200,18,2
562,PRELUDIUM,1,ST8,100000,24,2
563,PRELUDIUM,1,ST8,69050,36,3
564,PRELUDIUM,1,ST8,135750,30,2
565,PRELUDIUM,1,ST8,208800,24,5
566,PRELUDIUM,1,ST8,86480,36,2
