Id,Descriptors
2011/01/N/HS3/06034,HS3_3
2011/01/N/HS2/00851,HS2_1
2011/01/N/HS3/03181,HS4_5
2011/01/N/HS6/00480,HS6_3
2011/01/N/HS5/01390,HS5_4
2011/01/N/HS5/01390,HS5_2
2011/01/N/HS5/05418,HS5_3
2011/01/N/HS3/03273,HS1_4
2011/01/N/HS3/03273,HS3_11
2011/01/N/HS4/02144,HS4_4
2011/01/N/HS4/02144,HS4_5
2011/01/N/HS4/02144,HS4_13
2011/01/N/HS4/06036,HS4_2
2011/01/N/HS4/02146,HS4_5
2011/01/N/HS4/02146,HS5_9
2011/01/N/HS4/02146,HS4_7
2011/01/N/HS4/05607,HS4_8
2011/01/N/HS4/05607,HS4_5
2011/01/N/HS4/05607,HS4_15
2011/01/N/HS6/03986,HS6_1
2011/01/N/HS3/04596,HS3_5
2011/01/N/HS3/04596,HS6_14
2011/01/N/HS3/04596,HS3_11
2011/01/N/HS5/02426,HS5_7
2011/03/N/HS3/01159,HS3_1
2011/03/N/HS3/01159,HS3_5
2011/01/N/HS5/01150,HS5_1
2011/01/N/HS4/03375,HS4_12
2011/01/N/HS4/03375,HS4_1
2011/01/N/HS4/02164,HS4_4
2011/01/N/HS4/02164,HS4_5
2011/01/N/HS4/02164,HS4_11
2011/01/N/HS5/02052,HS5_2
2011/01/N/HS5/02052,HS5_5
2011/01/N/HS5/02052,HS5_10
2011/01/N/HS4/02166,HS4_8
2011/01/N/HS1/02667,HS1_10
2011/01/N/HS1/02667,HS1_9
2011/01/N/HS1/02667,HS1_12
2011/01/N/HS4/05606,HS4_8
2011/01/N/HS1/00960,HS1_14
2011/01/N/HS1/01987,HS1_7
2011/01/N/HS2/02038,HS6_15
2011/01/N/HS2/02038,HS4_15
2011/01/N/HS2/02038,HS1_5
2011/01/N/HS4/02638,HS4_14
2011/01/N/HS4/02638,HS4_15
2011/01/N/HS4/01306,HS4_5
2016/21/N/HS4/02108,HS4_10
2016/21/N/HS4/02108,HS4_12
